"Model Number","Station Name","Org Name","MAC Address","System S/N","Address 1","Address 2","Floor Label",City,State,"Zip/Postal Code",County,"Country ","Activation Status","Network Status","Station Status","Port 1 Status","Port 2 Status","No. of Ports","Pricing Policy Name",Reservations,"Station Message",Enabled,"Station Activation Type","Usable By","Visibility (Access Policy Name)","EVSE ID","Radio Group Name","Software Version","Customer Category","Customer Subcategory","Circuit Sharing","Currency Name","Power Select / AC Breaker Rating","Scheduled Charging Policy Name",Warranty,"Station Activation Date","Warranty Expiration Date","Warranty Service","Plug Type","Device Access Restriction","Waitlist Policy Name","Asset Tag ID","Meter ID","Service Delivery Point ID","Point of Service ID","Account ID","Circuit ID","Panel ID","Customer Name","Customer ID","Site ID","Site mode","Site Validation Status",Paired,Latitude,Longitude
CT4020-HD,"STANFORD / THO NGW-B5","Stanford University",0024:B100:0003:12F8,184141024581,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942901,RG-GW1,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:38:10",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426793659810016,-122.159239515344200
CT4020-HD,"STANFORD / THO NGW-B4","Stanford University",0024:B100:0003:130F,184141024600,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942891,RG-GW1,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:35:51",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426805108688080,-122.159202634970240
CT4020-HD,"STANFORD / THO NGW-B3","Stanford University",0024:B100:0003:12EE,184141024577,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942871,RG-GW1,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:29:31",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.427834169299190,-122.156572058478890
CT4020-HD,"STANFORD / THO NGW-B2","Stanford University",0024:B100:0003:12F1,184141024593,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942831,RG-GW1,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:36:26",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426802179905490,-122.159175142327840
CT4020-HD,"STANFORD / THO NGW-B1","Stanford University",0024:B100:0003:12D9,184141024567,"740 Serra St",,,Stanford,California,94305,,"United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942771,RG-GW1,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:38:46",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426810700000004,-122.159185871163900
CT4020-HD,"STANFORD / THO NGW-A5 ADA","Stanford University",0024:B100:0003:1318,184141024610,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1943001,RG-GW2,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:40:18",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426802179905490,-122.159132226983600
CT4020-HD,"STANFORD / THO NGW-A4","Stanford University",0024:B100:0003:1312,184141024603,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942971,RG-GW2,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:39:25",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426793659810016,-122.159164413491780
CT4020-HD,"STANFORD / THO NGW-A3","Stanford University",0024:B100:0003:130E,184141024588,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942961,RG-GW2,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:42:11",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426810700000004,-122.159164413491780
CT4020-HD,"STANFORD / THO NGW-A2","Stanford University",0024:B100:0003:130B,184141024608,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942951,RG-GW2,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:44:39",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426785139713570,-122.159196599999960
CT4020-HD,"STANFORD / THO NGW-A1","Stanford University",0024:B100:0003:12EB,184141024573,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",1942911,RG-GW2,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:40:00",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.426802179905490,-122.159153684655720
CT4020-HD-GW,"STANFORD / THO GW-B","Stanford University",0024:B100:0003:2C1C,184841030920,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",715031,RG-GW1,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-08-19 23:02:32",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.427807544364500,-122.156600221673540
CT4020-HD-GW,"STANFORD / THO GW-A","Stanford University",0024:B100:0003:2A8C,184741030870,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",715051,RG-GW2,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-08-19 23:10:20",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.427875704178200,-122.156492933312950
