"EVSE ID","Org Name","Org ID","Station Name","Model Number","Hardware S/N","MAC Address","Extended Warranty S/N","Warranty Description","Token S/N","Cloud Plan","Activation Date (Pacific Time)","Expiration Date (Pacific Time)",Address,"Additional Services S/N","Additional Services Description","Customer Name","Customer ID"
107663,"Stanford University",11920001,"STANFORD / STATION 4 PS-5",CT4020-HD-GW,143041005775,0024:B100:0002:13E5,RXSJ1670007565045,CT4000-ASSURE-REN,"REN1691788144944, REN1691788145008",Commercial,"2016-06-08 14:11:06",2023-12-31,"340 Oak Rd, Stanford, California 94305, United States",,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42
110125,"Stanford University",11920001,"STANFORD / STATION 6 PS-5",CT4020-HD,143441006255,0024:B100:0002:15D0,RXSJ1670007565021,CT4000-ASSURE-REN,"REN1691788144990, REN1691788145047",Commercial,"2016-06-08 14:54:04",2023-12-31,"340 Oak Rd, Stanford, California 94305, United States",,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42
110209,"Stanford University",11920001,"STANFORD / STATION 5 PS-5",CT4020-HD,143441006275,0024:B100:0002:15DF,RXSJ1670007565054,CT4000-ASSURE-REN,"REN1691788144966, REN1691788145037",Commercial,"2016-06-08 14:45:44",2023-12-31,"340 Oak Rd, Stanford, California 94305, United States",,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42
110213,"Stanford University",11920001,"STANFORD / STATION 8 PS-5",CT4020-HD,143441006254,0024:B100:0002:15D4,RXSJ1670007565034,CT4000-ASSURE-REN,"REN1691788145000, REN1691788145017",Commercial,"2016-06-08 14:14:10",2023-12-31,"340 Oak Rd, Stanford, California 94305, United States",,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42
117141,"Stanford University",11920001,"STANFORD / STATION 7 PS-5",CT4020-HD,145041008118,0024:B100:0002:1C6A,RXSJ1670007565063,CT4000-ASSURE-REN,"REN1691788144992, REN1691788145012",Commercial,"2016-06-08 14:56:20",2023-12-31,"340 Oak Rd, Stanford, California 94305, United States",,,"Oak Park Unified School District",0014000000gHPcz
118781,"Stanford University",11920001,"STANFORD / STATION 2 TMU",CT4020-HD-GW,220141000444,0024:B100:0006:BC3D,RXSJ1670007565055,CT4000-ASSURE-REN,"REN1691788144943, REN1691788144972",Commercial,"2015-03-30 07:36:25",2023-12-31,"526-566 Lagunita Dr, Stanford, California 94305, United States",,,,
118785,"Stanford University",11920001,"STANFORD / STATION 1 PS-5",CT4020-HD,150241000120,0024:B100:0002:1EED,RXSJ1670007565042,CT4000-ASSURE-REN,"REN1691788144980, REN1691788144994",Commercial,"2015-03-18 15:22:59",2023-12-31,"360 Oak Rd, Stanford, California 94305, United States",,,"Stanford Parking & Transportation Services",0014000000wFNW2
118797,"Stanford University",11920001,"STANFORD / STATION 3 PS-5",CT4020-HD,150341000232,0024:B100:0002:1F6C,RXSJ1670007565044,CT4000-ASSURE-REN,"REN1691788144989, REN1691788145019",Commercial,"2015-03-18 15:43:43",2023-12-31,"360 Oak Rd, Stanford, California 94305, United States",,,"Stanford Parking & Transportation Services",0014000000wFNW2
118801,"Stanford University",11920001,"STANFORD / TH STATION 1",CT4020-HD-GW,201741012775,0024:B100:0004:0667,RXSJ1670007565019,CT4000-ASSURE-REN,"REN1691788144982, REN1691788145020",Commercial,"2015-03-20 12:37:34",2023-12-31,"295 Galvez St, Stanford, California 94305, United States",,,"Stanford Parking & Transportation Services",0014000000wFNW2
119315,"Stanford University",11920001,"STANFORD / STATION 2 PS-5",CT4020-HD-GW,200541004831,0024:B100:0004:3B91,RXSJ1670007565046,CT4000-ASSURE-REN,"REN1691788144998, REN1691788145028",Commercial,"2015-03-18 15:12:52",2023-12-31,"360 Oak Rd, Stanford, California 94305, United States",,,"Stanford Parking & Transportation Services",0014000000wFNW2
119355,"Stanford University",11920001,"STANFORD / STATION 1 TMU",CT4020-HD-GW,153741004116,0024:B100:0003:33C3,RXSJ1670007565065,CT4000-ASSURE-REN,"REN1691788144947, REN1691788144973",Commercial,"2015-03-19 15:24:31",2023-12-31,"526-566 Stanford UniversityLagunita Dr, Stanford, California 94305, United States",,,"Stanford Parking & Transportation Services",0014000000wFNW2
119361,"Stanford University",11920001,"STANFORD / TH WALL MOUNT",CT4020-HD-GW,143641006567,0024:B100:0002:16F3,RXSJ1670007565026,CT4000-ASSURE-REN,"REN1691788144964, REN1691788145030",Commercial,"2015-03-19 08:32:56",2023-12-31,"295 Galvez St, Stanford, California 94305, United States",,,"Stanford Parking & Transportation Services",0014000000wFNW2
125833,"Stanford University",11920001,"ROBLE / ROBLE LL2-13",CT4020-HD,152541002762,0024:B100:0002:294E,RXSJ1670007565066,CT4000-ASSURE-REN,"REN1691788144987, REN1691788145049",Commercial,"2017-01-27 13:30:53",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
125855,"Stanford University",11920001,"ROBLE / ROBLE LL1-7",CT4020-HD,152541002775,0024:B100:0002:2940,RXSJ1670007565033,CT4000-ASSURE-REN,"REN1691788144962, REN1691788145016",Commercial,"2017-01-26 17:45:11",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
125881,"Stanford University",11920001,"ROBLE / ROBLE LL1-6",CT4020-HD,152541002778,0024:B100:0002:2954,RXSJ1670007565062,CT4000-ASSURE-REN,"REN1691788144951, REN1691788145032",Commercial,"2017-01-26 17:32:28",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
125885,"Stanford University",11920001,"ROBLE / ROBLE LL1-4",CT4020-HD-GW,200341002120,0024:B100:0003:D26F,RXSJ1670007565028,CT4000-ASSURE-REN,"REN1691788144949, REN1691788145014",Commercial,"2017-01-26 17:48:17",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
125887,"Stanford University",11920001,"ROBLE / ROBLE LL2-3",CT4020-HD,152541002779,0024:B100:0002:2955,RXSJ1670007565017,CT4000-ASSURE-REN,"REN1691788144975, REN1691788144996",Commercial,"2017-01-27 17:27:15",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
125893,"Stanford University",11920001,"ROBLE / ROBLE LL2-9",CT4020-HD,152541002783,0024:B100:0002:295F,RXSJ1670007565013,CT4000-ASSURE-REN,"REN1691788144977, REN1691788145018",Commercial,"2017-01-31 15:24:07",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
125961,"Stanford University",11920001,"ROBLE / ROBLE LL2-2",CT4020-HD,152541002807,0024:B100:0002:297C,RXSJ1670007565058,CT4000-ASSURE-REN,"REN1691788144948, REN1691788145005",Commercial,"2017-01-27 18:33:32",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
