"Station Name","Org Name","MAC Address","System S/N","Address 1","Address 2","Floor Label",City,State,"Zip/Postal Code",County,"Country ","Activation Status","Network Status","Station Status","Port 1 Status","Port 2 Status","No. of Ports","Pricing Policy Name",Reservations,"Station Message",Enabled,"Station Activation Type","Usable By","Visibility (Access Policy Name)","Radio Group Name","Customer Category","Customer Subcategory","Circuit Sharing","Currency Name","Power Select / AC Breaker Rating","Scheduled Charging Policy Name",Warranty,"Station Activation Date","Warranty Expiration Date","Warranty Service","Device Access Restriction","Waitlist Policy Name","Asset Tag ID","Meter ID","Service Delivery Point ID","Point of Service ID","Account ID","Circuit ID","Panel ID","Customer Name","Customer ID","Site Validation Status",Paired
"STANFORD / THO NGW-B5","Stanford University",0024:B100:0003:12F8,184141024581,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW1,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:38:10",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-B4","Stanford University",0024:B100:0003:130F,184141024600,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW1,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:35:51",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-B3","Stanford University",0024:B100:0003:12EE,184141024577,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW1,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:29:31",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-B2","Stanford University",0024:B100:0003:12F1,184141024593,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW1,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:36:26",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-B1","Stanford University",0024:B100:0003:12D9,184141024567,"740 Serra St",,,Stanford,California,94305,,"United States",Activated,Unreachable,"Watch List",Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW1,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:38:46",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-A5 ADA","Stanford University",0024:B100:0003:1318,184141024610,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW2,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:40:18",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-A4","Stanford University",0024:B100:0003:1312,184141024603,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW2,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:39:25",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-A3","Stanford University",0024:B100:0003:130E,184141024588,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW2,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:42:11",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-A2","Stanford University",0024:B100:0003:130B,184141024608,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List",Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW2,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:44:39",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO NGW-A1","Stanford University",0024:B100:0003:12EB,184141024573,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","No Drivers",RG-GW2,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-09-17 15:40:00",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
